run number,time (s),cart_pos (m),cart_vel (m/s),pole_ang (rad),pole_ang_vel (rad/s)
0,0,0.009451707,-0.026939303,0.049124774,-0.04900509
0,0.02,0.00891292,0.16744508,0.048144672,-0.32579303
0,0.04,0.012261822,0.36184967,0.04162881,-0.60291296
0,0.06,0.019498816,0.5563654,0.029570553,-0.88219845
0,0.08,0.030626124,0.7510735,0.011926584,-1.1654404
0,0.1,0.045647595,0.9460382,-0.011382225,-1.4543604
0,0.12000000000000001,0.064568356,1.141298,-0.040469434,-1.7505774
0,0.14,0.08739432,0.9466582,-0.07548098,-1.4707515
0,0.16,0.10632748,0.7525363,-0.10489601,-1.202568
0,0.18,0.121378206,0.55891526,-0.12894738,-0.9445158
0,0.19999999999999998,0.13255651,0.365744,-0.14783768,-0.6949701
0,0.21999999999999997,0.13987139,0.17294815,-0.16173708,-0.452237
0,0.23999999999999996,0.14333035,0.3699435,-0.17078184,-0.7912172
0,0.25999999999999995,0.15072922,0.17752632,-0.18660617,-0.55675644
0,0.27999999999999997,0.15427975,-0.014553466,-0.1977413,-0.32818303
0,0.3,0.15398869,-0.20639175,-0.20430496,-0.10379099
0,0.32,0.14986084,-0.009017241,-0.20638078,-0.45334402
1,0,0.0009518958,0.015299471,0.025915895,0.016740503
1,0.02,0.0012578852,0.21004036,0.026250703,-0.2676543
1,0.04,0.005458692,0.40477803,0.020897618,-0.55194336
1,0.06,0.013554253,0.5996004,0.009858751,-0.8379696
1,0.08,0.02554626,0.7945863,-0.0069006407,-1.1275358
1,0.1,0.041437987,0.98979795,-0.029451357,-1.4223752
1,0.12000000000000001,0.061233945,1.1852715,-0.05789886,-1.7241157
1,0.14,0.084939376,0.9908579,-0.09238118,-1.4499967
1,0.16,0.104756534,0.7969848,-0.12138111,-1.1875486
1,0.18,0.12069623,0.6036274,-0.14513208,-0.935245
1,0.19999999999999998,0.13276878,0.41072956,-0.16383699,-0.69145936
1,0.21999999999999997,0.14098337,0.21821411,-0.17766617,-0.45450613
1,0.23999999999999996,0.14534765,0.025990568,-0.1867563,-0.22266904
1,0.25999999999999995,0.14586747,0.22322254,-0.19120967,-0.56796044
1,0.27999999999999997,0.15033191,0.031224051,-0.20256889,-0.34108517
1,0.3,0.15095639,-0.16052653,-0.20939058,-0.11848917
2,0,0.042150814,0.008897882,-0.04528119,0.026407057
2,0.02,0.04232877,0.20463897,-0.04475305,-0.28021175
2,0.04,0.04642155,0.4003698,-0.050357282,-0.586667
2,0.06,0.054428946,0.5961595,-0.062090624,-0.8947781
2,0.08,0.06635214,0.792066,-0.079986185,-1.2063144
2,0.1,0.08219346,0.59806347,-0.104112476,-0.93973196
2,0.12000000000000001,0.09415473,0.4044873,-0.12290712,-0.68149376
2,0.14,0.102244474,0.6010825,-0.13653699,-1.0102057
2,0.16,0.11426612,0.40802062,-0.1567411,-0.7633254
2,0.18,0.12242653,0.2153647,-0.1720076,-0.5237775
2,0.19999999999999998,0.12673382,0.023027696,-0.18248317,-0.28985068
2,0.21999999999999997,0.12719439,0.22021897,-0.18828018,-0.63407916
2,0.23999999999999996,0.13159876,0.028152784,-0.20096175,-0.4060992
2,0.25999999999999995,0.13216181,-0.16363701,-0.20908374,-0.18289003
3,0,-0.045655116,-0.0039183027,0.037207205,0.043149978
3,0.02,-0.04573348,0.19065091,0.038070206,-0.23756544
3,0.04,-0.041920464,0.38520887,0.033318896,-0.518001
3,0.06,-0.034216285,0.57984626,0.022958877,-0.8000011
3,0.08,-0.022619361,0.77464586,0.006958855,-1.0853742
3,0.1,-0.0071264426,0.96967536,-0.014748629,-1.3758655
3,0.12000000000000001,0.012267064,1.1649784,-0.042265937,-1.6731241
3,0.14,0.03556663,0.97037196,-0.07572842,-1.3938975
3,0.16,0.05497407,0.7762698,-0.10360637,-1.1258217
3,0.18,0.070499465,0.5826467,-0.1261228,-0.86735034
3,0.19999999999999998,0.082152404,0.3894458,-0.14346981,-0.6168327
3,0.21999999999999997,0.089941315,0.58624977,-0.15580647,-0.95104116
3,0.23999999999999996,0.10166631,0.39352894,-0.1748273,-0.71108365
3,0.25999999999999995,0.10953689,0.20120344,-0.18904896,-0.47813076
3,0.27999999999999997,0.11356096,0.00918287,-0.19861157,-0.25048155
3,0.3,0.11374462,-0.1826307,-0.20362121,-0.026426032
