run number,time (s),cart_pos (m),cart_vel (m/s),pole_ang (rad),pole_ang_vel (rad/s)
0,0,0.013547866,0.018758938,-0.006406658,0.011371922
0,0.02,0.013923044,0.21397218,-0.006179219,-0.28332546
0,0.04,0.018202487,0.4091817,-0.011845728,-0.5779509
0,0.06,0.026386123,0.6044677,-0.023404745,-0.87434185
0,0.08,0.038475476,0.4096716,-0.040891584,-0.5891081
0,0.1,0.04666891,0.6053416,-0.052673746,-0.8943865
0,0.12000000000000001,0.05877574,0.410972,-0.070561476,-0.6187154
0,0.14,0.06699518,0.60700494,-0.08293578,-0.9327609
0,0.16,0.07913528,0.41309398,-0.101591,-0.6672495
0,0.18,0.08739716,0.21952063,-0.114935994,-0.40820292
0,0.19999999999999998,0.09178757,0.41606864,-0.12310005,-0.7347966
0,0.21999999999999997,0.100108944,0.22284284,-0.13779598,-0.48325124
0,0.23999999999999996,0.1045658,0.029907238,-0.14746101,-0.23697497
0,0.25999999999999995,0.10516395,0.22679442,-0.1522005,-0.5722972
0,0.27999999999999997,0.10969983,0.034097355,-0.16364644,-0.3311674
0,0.3,0.11038178,-0.158363,-0.1702698,-0.09423145
0,0.32,0.10721452,0.038738385,-0.17215443,-0.4354259
0,0.34,0.10798929,-0.15358184,-0.18086295,-0.20157366
0,0.36000000000000004,0.10491765,-0.34571838,-0.18489441,0.029045938
0,0.38000000000000006,0.09800328,-0.14849271,-0.1843135,-0.31579998
0,0.4000000000000001,0.09503343,-0.34057653,-0.1906295,-0.08643632
0,0.4200000000000001,0.0882219,-0.53252745,-0.19235823,0.1405681
0,0.4400000000000001,0.07757135,-0.33524564,-0.18954687,-0.20610191
0,0.46000000000000013,0.070866436,-0.527223,-0.1936689,0.02131289
0,0.48000000000000015,0.060321975,-0.3299273,-0.19324264,-0.3256813
0,0.5000000000000001,0.053723432,-0.5218483,-0.19975626,-0.099618606
0,0.5200000000000001,0.043286465,-0.71363044,-0.20174864,0.12399566
0,0.5400000000000001,0.029013855,-0.5162758,-0.19926873,-0.22494458
0,0.5600000000000002,0.018688338,-0.70807487,-0.20376761,-0.0011371672
0,0.5800000000000002,0.004526841,-0.89978033,-0.20379037,0.22097777
0,0.6000000000000002,-0.013468766,-0.7024171,-0.1993708,-0.12844138
0,0.6200000000000002,-0.027517108,-0.89420766,-0.20193963,0.095318355
0,0.6400000000000002,-0.04540126,-0.6968504,-0.20003326,-0.25366947
0,0.6600000000000003,-0.059338268,-0.8886379,-0.20510666,-0.030142948
0,0.6800000000000003,-0.07711103,-1.0803186,-0.20570952,0.19147186
0,0.7000000000000003,-0.0987174,-0.8829388,-0.20188008,-0.15840843
0,0.7200000000000003,-0.11637618,-1.0746844,-0.20504825,0.064418346
0,0.7400000000000003,-0.13786986,-0.87730306,-0.20375988,-0.2853139
1,0,0.04680464,-0.010052784,-0.021705208,0.0467721
1,0.02,0.046603583,0.18537357,-0.020769766,-0.25267923
1,0.04,0.050311055,0.38078585,-0.025823351,-0.5518403
1,0.06,0.05792677,0.57626075,-0.036860157,-0.85254616
1,0.08,0.06945199,0.38166016,-0.05391108,-0.5716779
1,0.1,0.07708519,0.577495,-0.06534464,-0.8808456
1,0.12000000000000001,0.08863509,0.38331866,-0.08296155,-0.6094004
1,0.14,0.096301466,0.5794964,-0.095149554,-0.92701757
1,0.16,0.10789139,0.38577908,-0.11368991,-0.66568774
1,0.18,0.11560697,0.19240664,-0.12700367,-0.41085452
1,0.19999999999999998,0.11945511,0.38907874,-0.13522075,-0.74072546
1,0.21999999999999997,0.12723668,0.19605702,-0.15003526,-0.49346966
1,0.23999999999999996,0.13115782,0.0033342014,-0.15990466,-0.25157812
1,0.25999999999999995,0.1312245,0.20033525,-0.16493621,-0.5901217
1,0.27999999999999997,0.13523121,0.007859942,-0.17673865,-0.3535986
1,0.3,0.1353884,-0.18436642,-0.18381062,-0.12144179
1,0.32,0.13170108,-0.37644434,-0.18623947,0.10808504
1,0.34,0.124172196,-0.1792097,-0.18407775,-0.23708934
1,0.36000000000000004,0.120588,-0.3712901,-0.18881954,-0.0076501425
1,0.38000000000000006,0.1131622,-0.17403261,-0.18897255,-0.3534611
1,0.4000000000000001,0.10968155,-0.36603564,-0.19604176,-0.12581155
1,0.4200000000000001,0.10236083,-0.5578879,-0.198558,0.099186756
1,0.4400000000000001,0.09120308,-0.3605563,-0.19657427,-0.24898812
1,0.46000000000000013,0.08399195,-0.5524075,-0.20155403,-0.02417489
1,0.48000000000000015,0.0729438,-0.74415433,-0.20203753,0.1987665
1,0.5000000000000001,0.058060713,-0.5468023,-0.1980622,-0.15023606
1,0.5200000000000001,0.047124665,-0.7386183,-0.20106691,0.07401264
1,0.5400000000000001,0.0323523,-0.5412669,-0.19958666,-0.27476692
1,0.5600000000000002,0.02152696,-0.7330649,-0.205082,-0.051070858
1,0.5800000000000002,0.006865664,-0.9247463,-0.20610341,0.17055367
1,0.6000000000000002,-0.011629261,-0.72736216,-0.20269234,-0.17942259
1,0.6200000000000002,-0.026176505,-0.91909397,-0.2062808,0.04310313
1,0.6400000000000002,-0.044558384,-0.7217032,-0.20541874,-0.30692327
2,0,0.04226029,0.010729988,-0.021942668,0.02690281
2,0.02,0.04247489,0.20615962,-0.021404611,-0.27262172
2,0.04,0.04659808,0.40158036,-0.026857045,-0.57197815
2,0.06,0.054629687,0.5970684,-0.038296606,-0.8729995
